logzsol,logu,age_myr,nii_ha,oiii_hb,oii_ha,sii_ha
-2.0,-4.0,0.5,-2.3668334968923617,-2.073002009236376,-1.1007750488502757,-1.5672219058641612
-2.0,-4.0,1.0,-2.3668334968923617,-2.073002009236376,-1.1007750488502757,-1.5672219058641612
-2.0,-4.0,2.0,-2.3669825004025857,-2.076371814988302,-1.1006340306588858,-1.5674113651944057
-2.0,-4.0,3.0,-2.366518545973669,-2.07825385886919,-1.0999645978269277,-1.5679959355930027
-2.0,-4.0,4.0,-2.3648219879436723,-2.0246769722223283,-1.1032166612503143,-1.5646843559517587
-2.0,-4.0,6.0,-2.3648193388763143,-2.0178676891881207,-1.1039474510011245,-1.5602354554643607
-2.0,-4.0,8.0,-2.3662060556488553,-2.0791995479045338,-1.0996472667491184,-1.5664709461610713
-2.0,-4.0,10.0,-2.3715098833786215,-2.236277054939329,-1.0972641795330016,-1.5773102741535439
-2.0,-3.75,0.5,-2.3817211712074027,-1.6141102135066348,-1.0673816082195176,-1.657622616332862
-2.0,-3.75,1.0,-2.3817211712074027,-1.6141102135066348,-1.0673816082195176,-1.657622616332862
-2.0,-3.75,2.0,-2.381595635916285,-1.616986999716095,-1.0669604948980473,-1.6577418034788236
-2.0,-3.75,3.0,-2.3811160039114116,-1.6185591442565932,-1.0660170453215598,-1.6582510085684385
-2.0,-3.75,4.0,-2.3834580550148474,-1.5724571384052695,-1.074549244969611,-1.6564602459765059
-2.0,-3.75,6.0,-2.384281224470244,-1.562226200917515,-1.0764159895465895,-1.652480968134386
-2.0,-3.75,8.0,-2.3815161451671716,-1.614325488203877,-1.0658296485726808,-1.6575327135195514
-2.0,-3.75,10.0,-2.374455171366911,-1.7574921131598558,-1.050177796093696,-1.663354872114085
-2.0,-3.5,0.5,-2.396608845522451,-1.1552184177768865,-1.033987942299019,-1.7480216930709143
-2.0,-3.5,1.0,-2.396608845522451,-1.1552184177768865,-1.033987942299019,-1.7480216930709143
-2.0,-3.5,2.0,-2.3962087714361027,-1.1576021841806663,-1.033286747861405,-1.748070598106436
-2.0,-3.5,3.0,-2.3957134617478615,-1.158864428250373,-1.032069268127215,-1.7485044967887549
-2.0,-3.5,4.0,-2.402094020139317,-1.12023729281612,-1.045881270721019,-1.7482343794521307
-2.0,-3.5,6.0,-2.4037418473756382,-1.1065776421318918,-1.0488811749615043,-1.744724500077363
-2.0,-3.5,8.0,-2.396823618656016,-1.1494484930963633,-1.0320087104567262,-1.74859246496806
-2.0,-3.5,10.0,-2.3774004593551936,-1.2787071713803897,-1.0030912430293306,-1.7493981060538464
-2.0,-3.25,0.5,-2.5051344897542833,-0.8773388477276568,-1.1086149594830474,-1.8645965982586532
-2.0,-3.25,1.0,-2.5051344897542833,-0.8773388477276569,-1.1086149594830472,-1.8645965982586532
-2.0,-3.25,2.0,-2.5044962262419683,-0.8790427185846734,-1.1074739645619118,-1.8646167778794407
-2.0,-3.25,3.0,-2.5040121176080357,-0.8796766497998089,-1.1059148615451473,-1.8650715363763626
-2.0,-3.25,4.0,-2.513243048394643,-0.8530126898601111,-1.126619376813148,-1.8647398444649428
-2.0,-3.25,6.0,-2.5157072035282586,-0.8442264299698776,-1.1310268381667603,-1.861770324409405
-2.0,-3.25,8.0,-2.505893910683632,-0.8732686299169069,-1.1065250406717733,-1.8654647176152088
-2.0,-3.25,10.0,-2.472468703988568,-0.967352388076705,-1.0547206880592543,-1.8654509469305396
-2.0,-3.0,0.5,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-2.0,-3.0,1.0,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-2.0,-3.0,2.0,-2.612783681046733,-0.6004832514818244,-1.1816611646242736,-1.9811626943490406
-2.0,-3.0,3.0,-2.6123107733082214,-0.6004888603653131,-1.1797604355968583,-1.9816383015229662
-2.0,-3.0,4.0,-2.624392013089573,-0.5857850825762098,-1.2073569638465245,-1.9812449678386743
-2.0,-3.0,6.0,-2.6276722384115474,-0.5818610934954271,-1.213168693440066,-1.978815799036075
-2.0,-3.0,8.0,-2.614960577639587,-0.5970667369298145,-1.1810308424987055,-1.9823367133035446
-2.0,-3.0,10.0,-2.5675369486219495,-0.6559976047730203,-1.1063501096181099,-1.981503600662647
-2.0,-2.75,0.5,-2.7468339190107685,-0.4764166610627926,-1.3079418720898544,-2.096931199815207
-2.0,-2.75,1.0,-2.7468339190107685,-0.47641666106279246,-1.3079418720898541,-2.096931199815207
-2.0,-2.75,2.0,-2.745968233120953,-0.4771416087167123,-1.3062694543468452,-2.097065998534248
-2.0,-2.75,3.0,-2.745575876967103,-0.4768612143572649,-1.3043098593342493,-2.097448203941631
-2.0,-2.75,4.0,-2.7564506417014827,-0.46717916238329144,-1.3328562314373633,-2.0963145322466774
-2.0,-2.75,6.0,-2.7593069172020908,-0.4663114606374181,-1.3378601051614363,-2.0942861828184154
-2.0,-2.75,8.0,-2.7478272414198135,-0.47522424445845607,-1.305154400145987,-2.0980751902412567
-2.0,-2.75,10.0,-2.698964254950809,-0.5160379307910644,-1.2234040942085962,-2.0986092184716925
-2.0,-2.5,0.5,-2.8800077040354353,-0.3533740444471647,-1.4326417351707286,-2.212691148704943
-2.0,-2.5,1.0,-2.8800077040354353,-0.35337404444716475,-1.4326417351707286,-2.212691148704943
-2.0,-2.5,2.0,-2.8791527851633423,-0.3537999656089793,-1.4308776985903104,-2.212969279404199
-2.0,-2.5,3.0,-2.878840980388915,-0.35323356561139435,-1.4288592338755952,-2.213258082142464
-2.0,-2.5,4.0,-2.888509213705562,-0.3485725463630928,-1.4583554348545862,-2.2113840624702297
-2.0,-2.5,6.0,-2.890941324465904,-0.3507592419731443,-1.4625514965356132,-2.209756497165068
-2.0,-2.5,8.0,-2.880693920164,-0.35337588948170573,-1.4292770871585423,-2.213813552413871
-2.0,-2.5,10.0,-2.8303915612796757,-0.37607825680910884,-1.340458028703647,-2.215714830174528
-2.0,-2.25,0.5,-2.9801340381800827,-0.28982065491216247,-1.5324137893870795,-2.303512826886475
-2.0,-2.25,1.0,-2.9801340381800827,-0.28982065491216247,-1.5324137893870795,-2.303512826886475
-2.0,-2.25,2.0,-2.9793653426918407,-0.2902340634455483,-1.530736672453824,-2.3037203546172518
-2.0,-2.25,3.0,-2.9790894851934495,-0.2895936060217973,-1.5287300519879847,-2.303854369002501
-2.0,-2.25,4.0,-2.9867710400865217,-0.2861712007196857,-1.5569308502291461,-2.30115605980988
-2.0,-2.25,6.0,-2.9889078785620917,-0.29085430087428166,-1.5603575549233855,-2.2997661966374934
-2.0,-2.25,8.0,-2.9805515515882957,-0.29106708132823417,-1.5289629611909559,-2.3042841093516344
-2.0,-2.25,10.0,-2.933290100542301,-0.30791505913157385,-1.4415964128392718,-2.308458782500269
-2.0,-2.0,0.5,-3.08026037232473,-0.22626726537716027,-1.632185821662471,-2.394334501279944
-2.0,-2.0,1.0,-3.08026037232473,-0.22626726537716027,-1.6321858216624712,-2.394334501279944
-2.0,-2.0,2.0,-3.0795779001937222,-0.22666816129450393,-1.6305956232067793,-2.3944714279947608
-2.0,-2.0,3.0,-3.07933798988859,-0.22595364656301634,-1.6286008472393987,-2.39445065353156
-2.0,-2.0,4.0,-3.085032785224607,-0.22376968519979115,-1.6555061180777053,-2.390928049417477
-2.0,-2.0,6.0,-3.086873977403393,-0.23094908742601739,-1.658163128766113,-2.3897758388654244
-2.0,-2.0,8.0,-3.0804088977977013,-0.22875770872344942,-1.6286487216935706,-2.394754498901124
-2.0,-2.0,10.0,-3.0361886398049194,-0.23975186145404587,-1.5427347679050836,-2.401202734301463
-2.0,-1.75,0.5,-3.1544372332700163,-0.18668602707327145,-1.7060472737051036,-2.462838998213126
-2.0,-1.75,1.0,-3.1544372332700163,-0.1866860270732715,-1.7060472737051036,-2.462838998213126
-2.0,-1.75,2.0,-3.1538705104671068,-0.186991788185557,-1.7045764145675928,-2.4630654667532315
-2.0,-1.75,3.0,-3.1536800507801908,-0.18619110061726363,-1.7026229487054345,-2.462945109429031
-2.0,-1.75,4.0,-3.1579460018524146,-0.1842258762203976,-1.7283267044273394,-2.458665187785183
-2.0,-1.75,6.0,-3.1595042520842807,-0.1940845110394169,-1.7302462846834998,-2.4576582721512135
-2.0,-1.75,8.0,-3.1544796685268413,-0.19072455358125495,-1.7024803049665236,-2.463049358293432
-2.0,-1.75,10.0,-3.113545399894754,-0.1990991584973542,-1.6196514319366488,-2.471532962488717
-2.0,-1.5,0.5,-3.2286140942153096,-0.14710478876938987,-1.7799087153153152,-2.5313434896046583
-2.0,-1.5,1.0,-3.2286140942153096,-0.14710478876938993,-1.7799087153153155,-2.5313434896046583
-2.0,-1.5,2.0,-3.228163120731006,-0.14731541505427048,-1.7785571972517529,-2.531659501113492
-2.0,-1.5,3.0,-3.2280221116222463,-0.1464285544334753,-1.7766450406853316,-2.531439559735657
-2.0,-1.5,4.0,-3.230859209971196,-0.14468179883785587,-1.8011472487840117,-2.5264023181786817
-2.0,-1.5,6.0,-3.2321343371043207,-0.15721983314134186,-1.8023291536167934,-2.52554068022542
-2.0,-1.5,8.0,-3.228550121588271,-0.15269132449033038,-1.7763115780634084,-2.5313440784972276
-2.0,-1.5,10.0,-3.1909021599845957,-0.1584464555406555,-1.6965680830699874,-2.5418631905606914
-2.0,-1.25,0.5,-3.2935452494084245,-0.11867216403641126,-1.843752304458352,-2.5914719739399543
-2.0,-1.25,1.0,-3.2935452494084245,-0.1186721640364112,-1.843752304458352,-2.5914719739399543
-2.0,-1.25,2.0,-3.293197672188706,-0.11889779029565262,-1.8424711038117414,-2.5919233583162815
-2.0,-1.25,3.0,-3.2930836877267597,-0.1180119386834163,-1.8406110565543907,-2.591604293430943
-2.0,-1.25,4.0,-3.294952962671919,-0.1161724589725701,-1.8643529801362306,-2.58618814538671
-2.0,-1.25,6.0,-3.2961043983639438,-0.13028663770709367,-1.8647690447026968,-2.5856602957864028
-2.0,-1.25,8.0,-3.2933984273608146,-0.1254105099683508,-1.8399652572625587,-2.591319574505656
-2.0,-1.25,10.0,-3.258544192920681,-0.12999879494469016,-1.7633809124217381,-2.603007923809716
-2.0,-1.0,0.5,-3.3584764046015465,-0.09023953930343256,-1.9075958885351771,-2.651600452347519
-2.0,-1.0,1.0,-3.3584764046015465,-0.09023953930343256,-1.9075958885351771,-2.651600452347519
-2.0,-1.0,2.0,-3.3582322236339675,-0.09048016553688307,-1.9063850035361365,-2.652187207629935
-2.0,-1.0,3.0,-3.3581452637599023,-0.08959532293354737,-1.9045770657186312,-2.6517690203520634
-2.0,-1.0,4.0,-3.359046708534681,-0.08766305624079884,-1.9275586673214562,-2.64597395874905
-2.0,-1.0,6.0,-3.3600743606090453,-0.10335344835237778,-1.9272087594118488,-2.6457799072315393
-2.0,-1.0,8.0,-3.3582465419174556,-0.0981296772910608,-1.9036186790671275,-2.6512950275918894
-2.0,-1.0,10.0,-3.326186225856759,-0.1015511343487176,-1.8301937297617639,-2.6641526564551583
-1.75,-4.0,0.5,-2.3668334968923617,-2.073002009236376,-1.1007750488502757,-1.567221905864161
-1.75,-4.0,1.0,-2.3668334968923617,-2.073002009236376,-1.1007750488502754,-1.5672219058641612
-1.75,-4.0,2.0,-2.3669823914313084,-2.076372290206074,-1.1006338702968517,-1.5674115054745033
-1.75,-4.0,3.0,-2.366517697659137,-2.078256294591129,-1.0999634685026742,-1.5679969152924302
-1.75,-4.0,4.0,-2.364822119179414,-2.0246842488866714,-1.1032160986709638,-1.564685761828349
-1.75,-4.0,6.0,-2.364793118589521,-2.016678071861561,-1.1040346121542146,-1.56011222493126
-1.75,-4.0,8.0,-2.3662094865295966,-2.0792934984971527,-1.099645718677313,-1.5664779366684194
-1.75,-4.0,10.0,-2.3715098833786215,-2.236277054939329,-1.0972641795330016,-1.5773102741535439
-1.75,-3.75,0.5,-2.3817211712074027,-1.6141102135066348,-1.0673816082195176,-1.6576226163328622
-1.75,-3.75,1.0,-2.3817211712074027,-1.6141102135066348,-1.0673816082195176,-1.6576226163328622
-1.75,-3.75,2.0,-2.38159552097338,-1.6169873973658746,-1.0669602667759213,-1.6577419251166319
-1.75,-3.75,3.0,-2.381115195090332,-1.618561157906662,-1.0660155190926313,-1.6582518802343849
-1.75,-3.75,4.0,-2.383457641980022,-1.572464104837388,-1.0745478701492743,-1.6564614578161154
-1.75,-3.75,6.0,-2.384334962937722,-1.5612187318721311,-1.076626591955926,-1.6523799087375355
-1.75,-3.75,8.0,-2.381511551990524,-1.6144116690000239,-1.065819418427619,-1.657536474175156
-1.75,-3.75,10.0,-2.374455171366911,-1.7574921131598558,-1.050177796093696,-1.663354872114085
-1.75,-3.5,0.5,-2.396608845522451,-1.1552184177768865,-1.033987942299019,-1.7480216930709143
-1.75,-3.5,1.0,-2.396608845522451,-1.1552184177768865,-1.033987942299019,-1.7480216930709143
-1.75,-3.5,2.0,-2.396208650521801,-1.1576025042524631,-1.033286451968201,-1.748070701116162
-1.75,-3.5,3.0,-2.3957126924205943,-1.158866019833503,-1.0320673449763944,-1.7485052605214004
-1.75,-3.5,4.0,-2.402093063806232,-1.1202439491275908,-1.045879086474028,-1.7482353972225742
-1.75,-3.5,6.0,-2.4038755776238805,-1.1057525384839666,-1.049215296468902,-1.744645610457995
-1.75,-3.5,8.0,-2.3968109127385215,-1.1495268033462531,-1.031989693677917,-1.74859298630321
-1.75,-3.5,10.0,-2.3774004593551936,-1.2787071713803897,-1.0030912430293306,-1.7493981060538464
-1.75,-3.25,0.5,-2.5051344897542833,-0.8773388477276568,-1.1086149594830474,-1.8645965982586532
-1.75,-3.25,1.0,-2.5051344897542833,-0.8773388477276569,-1.1086149594830474,-1.8645965982586532
-1.75,-3.25,2.0,-2.504496106299376,-0.8790428834432628,-1.107473583839457,-1.864616885800234
-1.75,-3.25,3.0,-2.504011415713653,-0.8796773282638009,-1.1059124493061594,-1.8650723359275785
-1.75,-3.25,4.0,-2.5132416830534976,-0.8530170744950237,-1.1266162239088828,-1.8647407503838287
-1.75,-3.25,6.0,-2.5158943791781856,-0.8436699128749164,-1.1315079602306424,-1.8616946603147397
-1.75,-3.25,8.0,-2.5058718981663892,-0.8733266765031426,-1.1064905732112391,-1.8654647088727423
-1.75,-3.25,10.0,-2.472468703988568,-0.9673523880767051,-1.0547206880592543,-1.8654509469305396
-1.75,-3.0,0.5,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-1.75,-3.0,1.0,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-1.75,-3.0,2.0,-2.612783562075808,-0.6004832610700128,-1.1816606990573093,-1.9811628071780856
-1.75,-3.0,3.0,-2.6123101388472914,-0.6004886257491009,-1.1797575342789597,-1.9816391368720898
-1.75,-3.0,4.0,-2.6243902393467993,-0.5857872241228728,-1.2073528471314405,-1.9812457618782109
-1.75,-3.0,6.0,-2.6279128676680124,-0.5815735690186973,-1.2137969083321845,-1.978743358194378
-1.75,-3.0,8.0,-2.614929135911161,-0.5971037666433721,-1.1809805695070563,-1.982336175199776
-1.75,-3.0,10.0,-2.5675369486219495,-0.6559976047730203,-1.1063501096181099,-1.981503600662647
-1.75,-2.75,0.5,-2.7468339190107685,-0.4764166610627926,-1.3079418720898544,-2.096931199815207
-1.75,-2.75,1.0,-2.7468339190107685,-0.47641666106279246,-1.3079418720898544,-2.096931199815207
-1.75,-2.75,2.0,-2.7459681337695825,-0.47714154781526125,-1.3062689742141134,-2.097066089847187
-1.75,-2.75,3.0,-2.7455753652424715,-0.4768605568777725,-1.3043068703874448,-2.0974488611210207
-1.75,-2.75,4.0,-2.7564490693836796,-0.4671801471798665,-1.3328522098976618,-2.096315280200616
-1.75,-2.75,6.0,-2.759521624287311,-0.46614550041515296,-1.338496803467545,-2.0942088268324066
-1.75,-2.75,8.0,-2.7477948543497814,-0.4752501208361375,-1.3050992092613065,-2.098075534729618
-1.75,-2.75,10.0,-2.698964254950809,-0.5160379307910644,-1.2234040942085962,-2.0986092184716925
-1.75,-2.5,0.5,-2.8800077040354353,-0.3533740444471647,-1.4326417351707286,-2.212691148704943
-1.75,-2.5,1.0,-2.8800077040354353,-0.3533740444471647,-1.4326417351707283,-2.212691148704943
-1.75,-2.5,2.0,-2.879152705430318,-0.3537998342048856,-1.4308772038905786,-2.2129693491999523
-1.75,-2.5,3.0,-2.878840591401423,-0.3532324852783425,-1.4288561572937726,-2.2132585611525433
-1.75,-2.5,4.0,-2.8885078433528633,-0.34857238104107974,-1.4583515086877326,-2.211384764289087
-1.75,-2.5,6.0,-2.891130116305979,-0.35071491608701566,-1.4631966775664083,-2.209674226417555
-1.75,-2.5,8.0,-2.880660588260883,-0.35339041294367307,-1.4292169507244878,-2.213814776327597
-1.75,-2.5,10.0,-2.8303915612796757,-0.37607825680910884,-1.340458028703647,-2.215714830174528
-1.75,-2.25,0.5,-2.9801340381800827,-0.28982065491216247,-1.5324137893870795,-2.303512826886475
-1.75,-2.25,1.0,-2.9801340381800827,-0.28982065491216247,-1.5324137893870795,-2.303512826886475
-1.75,-2.25,2.0,-2.9793652724911097,-0.2902339139699716,-1.530736181299772,-2.3037203879229935
