logzsol,logu,age_myr,nii_ha,oiii_hb,oii_ha,sii_ha
-2.0,-4.0,0.5,-2.3668334968923617,-2.073002009236376,-1.1007750488502757,-1.5672219058641612
-2.0,-4.0,1.0,-2.3668334968923617,-2.073002009236376,-1.1007750488502757,-1.5672219058641612
-2.0,-4.0,2.0,-2.3669825004025857,-2.076371814988302,-1.1006340306588858,-1.5674113651944057
-2.0,-4.0,3.0,-2.366518545973669,-2.07825385886919,-1.0999645978269277,-1.5679959355930027
-2.0,-4.0,4.0,-2.3648219879436723,-2.0246769722223283,-1.1032166612503143,-1.5646843559517587
-2.0,-4.0,6.0,-2.3648193388763143,-2.0178676891881207,-1.1039474510011245,-1.5602354554643607
-2.0,-4.0,8.0,-2.3662060556488553,-2.0791995479045338,-1.0996472667491184,-1.5664709461610713
-2.0,-4.0,10.0,-2.3715098833786215,-2.236277054939329,-1.0972641795330016,-1.5773102741535439
-2.0,-3.9,0.5,-2.3727885666183823,-1.8894452909444794,-1.0874176996294151,-1.6033823860440932
-2.0,-3.9,1.0,-2.3727885666183823,-1.8894452909444794,-1.0874176996294151,-1.6033823860440932
-2.0,-3.9,2.0,-2.3728277546073304,-1.8926178889110024,-1.0871646417046261,-1.603543737691279
-2.0,-3.9,3.0,-2.372357529160922,-1.8943759731913854,-1.0863856037841526,-1.6040981549010558
-2.0,-3.9,4.0,-2.372276427024852,-1.8437890401101769,-1.0917497617740721,-1.6013949226862367
-2.0,-3.9,6.0,-2.372604244616137,-1.8356119419881767,-1.0929352687199474,-1.5971338981521905
-2.0,-3.9,8.0,-2.37233040331454,-1.893250273596741,-1.0861206152435618,-1.6028958948726129
-2.0,-3.9,10.0,-2.3726879985739373,-2.0447630782275468,-1.0784296465101169,-1.6117282769787302
-2.0,-3.8,0.5,-2.378743636344403,-1.705888572652583,-1.0740603143671836,-1.6395426049099986
-2.0,-3.8,1.0,-2.378743636344403,-1.705888572652583,-1.0740603143671836,-1.6395426049099986
-2.0,-3.8,2.0,-2.3786730088130583,-1.7088639627915871,-1.0736952189507756,-1.6396758472866695
-2.0,-3.8,3.0,-2.378196512331969,-1.7104980872905948,-1.0728065737961059,-1.6402001207274368
-2.0,-3.8,4.0,-2.379730849765895,-1.6629011061114518,-1.080282772903108,-1.6381052084648768
-2.0,-3.8,6.0,-2.3803889483563765,-1.6533550640368004,-1.0819225500505678,-1.6340320240248758
-2.0,-3.8,8.0,-2.3784543355121213,-1.7073005336366054,-1.0725934364876801,-1.6393205212501565
-2.0,-3.8,10.0,-2.373866113769246,-1.8532491015157575,-1.0595950863504764,-1.6461460616228982
-2.0,-3.7,0.5,-2.3846987060704166,-1.5223318543606865,-1.0607028930602584,-1.675702562406459
-2.0,-3.7,1.0,-2.3846987060704166,-1.5223318543606865,-1.0607028930602584,-1.675702562406459
-2.0,-3.7,2.0,-2.3845182630197685,-1.525110036630067,-1.0602257623942977,-1.6758076939246813
-2.0,-3.7,3.0,-2.3840354954868026,-1.526620201166834,-1.0592275078594573,-1.6763018330192099
-2.0,-3.7,4.0,-2.38718525618594,-1.4820131702281907,-1.0688156947174194,-1.6748152132261371
-2.0,-3.7,6.0,-2.388173450076536,-1.4710970549769093,-1.070909294917247,-1.6709298330147597
-2.0,-3.7,8.0,-2.384577850182196,-1.521350325356637,-1.0590657278616813,-1.6757448251525107
-2.0,-3.7,10.0,-2.375044228964569,-1.6617351248039682,-1.0407604990519101,-1.680563628044414
-2.0,-3.6,0.5,-2.39065377579643,-1.33877513606879,-1.0473454357053074,-1.711862258478368
-2.0,-3.6,1.0,-2.39065377579643,-1.33877513606879,-1.0473454357053074,-1.711862258478368
-2.0,-3.6,2.0,-2.3903635172274478,-1.3413561104264256,-1.046756272032177,-1.711939277549696
-2.0,-3.6,3.0,-2.389874478625434,-1.3427423148200928,-1.0456484059709237,-1.7124032917237688
-2.0,-3.6,4.0,-2.3946396463040345,-1.3011252324623963,-1.0573485272968073,-1.7115249369088235
-2.0,-3.6,6.0,-2.395957749756329,-1.288837914457122,-1.0598955032453905,-1.7078273250545364
-2.0,-3.6,8.0,-2.3907009452561656,-1.3353996460751714,-1.045537486733102,-1.7121688064387324
-2.0,-3.6,10.0,-2.3762223441598778,-1.4702211480921719,-1.0219258846122494,-1.7149809762018036
-2.0,-3.5,0.5,-2.396608845522451,-1.1552184177768865,-1.033987942299019,-1.7480216930709143
-2.0,-3.5,1.0,-2.396608845522451,-1.1552184177768865,-1.033987942299019,-1.7480216930709143
-2.0,-3.5,2.0,-2.3962087714361027,-1.1576021841806663,-1.033286747861405,-1.748070598106436
-2.0,-3.5,3.0,-2.3957134617478615,-1.158864428250373,-1.032069268127215,-1.7485044967887549
-2.0,-3.5,4.0,-2.402094020139317,-1.12023729281612,-1.045881270721019,-1.7482343794521307
-2.0,-3.5,6.0,-2.4037418473756382,-1.1065776421318918,-1.0488811749615043,-1.744724500077363
-2.0,-3.5,8.0,-2.396823618656016,-1.1494484930963633,-1.0320087104567262,-1.74859246496806
-2.0,-3.5,10.0,-2.3774004593551936,-1.2787071713803897,-1.0030912430293306,-1.7493981060538464
-2.0,-3.4,0.5,-2.440019103215178,-1.0440665897571932,-1.0638387511233403,-1.7946516878499625
-2.0,-3.4,1.0,-2.440019103215178,-1.0440665897571932,-1.0638387511233405,-1.7946516878499625
-2.0,-3.4,2.0,-2.4395237533585767,-1.0461783981230617,-1.062961636538236,-1.7946891016085487
-2.0,-3.4,3.0,-2.43903292411112,-1.0471893181882503,-1.0616075078183966,-1.7951313455530056
-2.0,-3.4,4.0,-2.446553639077643,-1.0133478146812596,-1.0781765756272148,-1.7948366064488597
-2.0,-3.4,6.0,-2.4485280283859967,-1.0016388512825694,-1.081739897100533,-1.7915428717683257
-2.0,-3.4,8.0,-2.4404521671834596,-1.0389791386902203,-1.0618164899984333,-1.7953413968568144
-2.0,-3.4,10.0,-2.4154277572085405,-1.1541652580589101,-1.0237430238579417,-1.7958192648598086
-2.0,-3.3,0.5,-2.4834293609079126,-0.9329147617375,-1.093689557346701,-1.841281639024359
-2.0,-3.3,1.0,-2.4834293609079126,-0.9329147617375,-1.093689557346701,-1.841281639024359
-2.0,-3.3,2.0,-2.48283873528087,-0.9347546118244016,-1.0926365225528833,-1.8413075629873608
-2.0,-3.3,3.0,-2.4823523864487984,-0.9355142063686499,-1.091145744410893,-1.8417581504122649
-2.0,-3.3,4.0,-2.4910132478328864,-0.9064578520601185,-1.1104717972105238,-1.841438778790973
-2.0,-3.3,6.0,-2.4933141579977893,-0.896697801899177,-1.1145980101130295,-1.8383611875161867
-2.0,-3.3,8.0,-2.484080140635599,-0.9285063384898451,-1.091622608907053,-1.8420902876398992
-2.0,-3.3,10.0,-2.4534550550618945,-1.0296233447374448,-1.044394800931014,-1.8422403937257388
-2.0,-3.2,0.5,-2.526839618600647,-0.8217629337178067,-1.123540360969163,-1.8879115465903946
-2.0,-3.2,1.0,-2.526839618600647,-0.8217629337178068,-1.123540360969163,-1.8879115465903946
-2.0,-3.2,2.0,-2.526153717203003,-0.8233308252846705,-1.1223114059053958,-1.8879259822393697
-2.0,-3.2,3.0,-2.525671848760875,-0.8238390927915987,-1.120683977904753,-1.8883849113628195
-2.0,-3.2,4.0,-2.5354728464139837,-0.7995674074885085,-1.1427669356534713,-1.8880408964733626
-2.0,-3.2,6.0,-2.538100236207967,-0.7917544930651773,-1.1474555139029985,-1.8851794473144121
-2.0,-3.2,8.0,-2.5277075357309267,-0.8180300402439914,-1.1214270513183238,-1.888839137312161
-2.0,-3.2,10.0,-2.4914823529152486,-0.9050814314159652,-1.0650465742486588,-1.8886614926495633
-2.0,-3.1,0.5,-2.5702498762933743,-0.7106111056981135,-1.1533911619907826,-1.9345414105444048
-2.0,-3.1,1.0,-2.5702498762933743,-0.7106111056981136,-1.1533911619907826,-1.9345414105444045
-2.0,-3.1,2.0,-2.569468699124962,-0.7119070385038238,-1.151986286595849,-1.9345443593611011
-2.0,-3.1,3.0,-2.5689913110473395,-0.7121639774571489,-1.1502222083000526,-1.9350116284009522
-2.0,-3.1,4.0,-2.579932434829903,-0.6926764834900406,-1.175061991138211,-1.9346429594909458
-2.0,-3.1,6.0,-2.582886263013552,-0.686808923887269,-1.1803124083761973,-1.9319976511565344
-2.0,-3.1,8.0,-2.5713343491708223,-0.7075501909668984,-1.1512298012295723,-1.935587945868421
-2.0,-3.1,10.0,-2.5295096507686026,-0.7805395180944927,-1.085698343810987,-1.9350825616292253
-2.0,-3.0,0.5,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-2.0,-3.0,1.0,-2.6136601339861016,-0.5994592776784131,-1.183241960411625,-1.9811712308826972
-2.0,-3.0,2.0,-2.612783681046733,-0.6004832514818244,-1.1816611646242736,-1.9811626943490406
-2.0,-3.0,3.0,-2.6123107733082214,-0.6004888603653131,-1.1797604355968583,-1.9816383015229662
-2.0,-3.0,4.0,-2.624392013089573,-0.5857850825762098,-1.2073569638465245,-1.9812449678386743
-2.0,-3.0,6.0,-2.6276722384115474,-0.5818610934954271,-1.213168693440066,-1.978815799036075
-2.0,-3.0,8.0,-2.614960577639587,-0.5970667369298145,-1.1810308424987055,-1.9823367133035446
-2.0,-3.0,10.0,-2.5675369486219495,-0.6559976047730203,-1.1063501096181099,-1.981503600662647
-2.0,-2.9,0.5,-2.666929647995971,-0.5502422310321649,-1.233121930914935,-2.027475220860762
-2.0,-2.9,1.0,-2.666929647995971,-0.5502422310321649,-1.2331219309149353,-2.027475220860762
-2.0,-2.9,2.0,-2.666057501880248,-0.5511465944168895,-1.231504485971101,-2.0275240188208725
-2.0,-2.9,3.0,-2.665616814800223,-0.5510378022906246,-1.229580210995685,-2.0279622653964826
-2.0,-2.9,4.0,-2.677215471319486,-0.538342798287522,-1.257556678581885,-2.0272727977040934
-2.0,-2.9,6.0,-2.680326142513169,-0.535641550584575,-1.2630452605705285,-2.0250039608809405
-2.0,-2.9,8.0,-2.668107241354524,-0.5483304363930144,-1.2306803696781785,-2.028632117867366
-2.0,-2.9,10.0,-2.6201078711534933,-0.6000137351802408,-1.1531717094661,-2.028345848518995
-2.0,-2.8,0.5,-2.7201991620058337,-0.5010251843859166,-1.2830018936421612,-2.0737792076320827
-2.0,-2.8,1.0,-2.7201991620058337,-0.5010251843859165,-1.2830018936421612,-2.0737792076320827
-2.0,-2.8,2.0,-2.7193313227086553,-0.501809937297139,-1.2813478000408143,-2.0738853395623775
-2.0,-2.8,3.0,-2.7189228562542858,-0.5015867437778941,-1.2793999785226209,-2.074286225395275
-2.0,-2.8,4.0,-2.7300389205038265,-0.49090040223258,-1.30775638305218,-2.073300622099877
-2.0,-2.8,6.0,-2.732980003167217,-0.48942159404143076,-1.312921824445064,-2.071192111616627
-2.0,-2.8,8.0,-2.7212539074659094,-0.4995932084225942,-1.280329758089393,-2.0749275040433814
-2.0,-2.8,10.0,-2.672678793685037,-0.5440298655874614,-1.1999933012983075,-2.075188095398374
-2.0,-2.7,0.5,-2.7734686760157032,-0.45180813773966116,-1.332881848593657,-2.120083191196617
-2.0,-2.7,1.0,-2.7734686760157032,-0.4518081377396612,-1.332881848593657,-2.120083191196617
-2.0,-2.7,2.0,-2.7726051435319703,-0.45247328012256854,-1.3311911068337183,-2.1202466565735016
-2.0,-2.7,3.0,-2.7722288976704297,-0.45213568482711136,-1.3292197381780395,-2.1206101815192704
-2.0,-2.7,4.0,-2.78286236063482,-0.4434578947009968,-1.3579560772556016,-2.119328441026115
-2.0,-2.7,6.0,-2.7856338203758906,-0.4432012238010725,-1.3627983850639178,-2.1173802512427753
-2.0,-2.7,8.0,-2.7744005759722827,-0.4508550460002145,-1.3299790073773092,-2.12122287184854
-2.0,-2.7,10.0,-2.725249716216588,-0.4880459959946677,-1.2468148851150676,-2.122030341300769
-2.0,-2.6,0.5,-2.8267381900255657,-0.40259109109341285,-1.382761795769728,-2.166387171554251
-2.0,-2.6,1.0,-2.8267381900255657,-0.4025910910934129,-1.382761795769728,-2.166387171554251
-2.0,-2.6,2.0,-2.825878964350213,-0.40313662289318786,-1.3810344063501203,-2.1666079698541405
-2.0,-2.6,3.0,-2.825534939048637,-0.4026846254382727,-1.3790394899622498,-2.1669341337683665
-2.0,-2.6,4.0,-2.835685791704667,-0.3960152759817579,-1.4081557611903408,-2.165356254482871
-2.0,-2.6,6.0,-2.838287594141387,-0.39698043979940856,-1.4126749424273515,-2.1635683797590386
-2.0,-2.6,8.0,-2.827547246872144,-0.4021159420587136,-1.3796281171859472,-2.1675182212997397
-2.0,-2.6,10.0,-2.777820638748139,-0.4320621264018882,-1.2936364609167355,-2.1688725862261564
-2.0,-2.5,0.5,-2.8800077040354353,-0.3533740444471647,-1.4326417351707286,-2.212691148704943
-2.0,-2.5,1.0,-2.8800077040354353,-0.35337404444716475,-1.4326417351707286,-2.212691148704943
-2.0,-2.5,2.0,-2.8791527851633423,-0.3537999656089793,-1.4308776985903104,-2.212969279404199
-2.0,-2.5,3.0,-2.878840980388915,-0.35323356561139435,-1.4288592338755952,-2.213258082142464
-2.0,-2.5,4.0,-2.888509213705562,-0.3485725463630928,-1.4583554348545862,-2.2113840624702297
-2.0,-2.5,6.0,-2.890941324465904,-0.3507592419731443,-1.4625514965356132,-2.209756497165068
-2.0,-2.5,8.0,-2.880693920164,-0.35337588948170573,-1.4292770871585423,-2.213813552413871
-2.0,-2.5,10.0,-2.8303915612796757,-0.37607825680910884,-1.340458028703647,-2.215714830174528
-2.0,-2.4,0.5,-2.920058237693297,-0.32795268863317517,-1.4725505594902857,-2.2490198204321254
-2.0,-2.4,1.0,-2.920058237693297,-0.32795268863317517,-1.4725505594902857,-2.2490198204321254
-2.0,-2.4,2.0,-2.919237808177949,-0.3283736047421223,-1.4708212909091007,-2.2492697097096923
-2.0,-2.4,3.0,-2.9189403823238593,-0.32777758175986077,-1.4688075638639821,-2.2494965971661935
-2.0,-2.4,4.0,-2.9278139539935246,-0.3236120285302186,-1.4977856186823402,-2.2472928623338992
-2.0,-2.4,6.0,-2.9301280007395483,-0.32679729821317777,-1.5016739780404533,-2.24576038382354
-2.0,-2.4,8.0,-2.9206370070340215,-0.3284524337435947,-1.4691514504091705,-2.2500017953102485
-2.0,-2.4,10.0,-2.8715509769847287,-0.34881297773809905,-1.3809133858464318,-2.2528124111677665
-2.0,-2.3,0.5,-2.9601087713511447,-0.3025313328191573,-1.5124593802991424,-2.2853484915532096
-2.0,-2.3,1.0,-2.9601087713511447,-0.30253133281915723,-1.5124593802991424,-2.2853484915532096
-2.0,-2.3,2.0,-2.9593228311882678,-0.3029472438772414,-1.5107648795300235,-2.285570139721482
-2.0,-2.3,3.0,-2.9590397842412957,-0.30232159792926155,-1.508755890194443,-2.2857351118169644
-2.0,-2.3,4.0,-2.9671186813029755,-0.29865148345813197,-1.5372157789437149,-2.2832016609605073
-2.0,-2.3,6.0,-2.9693146041655383,-0.3028353108808274,-1.5407963820116,-2.281764261322654
-2.0,-2.3,8.0,-2.9605800481578792,-0.30352888800952305,-1.509025795473905,-2.2861900113724776
-2.0,-2.3,10.0,-2.9127103926897746,-0.32154769866708227,-1.421368738337807,-2.2899099920770762
-2.0,-2.2,0.5,-3.0001593050090065,-0.2771099770051606,-1.5523681975973862,-2.321677162068221
-2.0,-2.2,1.0,-3.0001593050090065,-0.2771099770051606,-1.552368197597386,-2.3216771620682204
-2.0,-2.2,2.0,-2.999407854194341,-0.2775208830143506,-1.550708464453195,-2.32187056943959
-2.0,-2.2,3.0,-2.999139186141229,-0.2768656141195766,-1.5487042128670887,-2.3219736260947847
-2.0,-2.2,4.0,-3.0064233956203417,-0.27369091118617805,-1.576645915613547,-2.3191104583499764
-2.0,-2.2,6.0,-3.00850113474844,-0.27887327997375244,-1.5799187084533615,-2.3177681296625594
-2.0,-2.2,8.0,-3.000523043610136,-0.2786052520689286,-1.5489001223668333,-2.3223782006352653
-2.0,-2.2,10.0,-2.9538698083948205,-0.2942824195960726,-1.4618240861779437,-2.327007572902467
-2.0,-2.1,0.5,-3.0402098386668683,-0.25168862119115687,-1.592277011385135,-2.3580058319771324
-2.0,-2.1,1.0,-3.0402098386668683,-0.25168862119115687,-1.5922770113851352,-2.3580058319771324
-2.0,-2.1,2.0,-3.0394928771961616,-0.2520945221534361,-1.5906520456787392,-2.3581709988640176
-2.0,-2.1,3.0,-3.0392385880236605,-0.25140963033083125,-1.5886525318820421,-2.358212139999646
-2.0,-2.1,4.0,-3.0457280969320863,-0.2487303117536496,-1.6160760286666158,-2.355019254502321
-2.0,-2.1,6.0,-3.0476875924928493,-0.2549112054895882,-1.6190409573700777,-2.3537719888434245
-2.0,-2.1,8.0,-3.0404659934653044,-0.25368152571073943,-1.5887744311020449,-2.3585663631332845
-2.0,-2.1,10.0,-2.9950292240998735,-0.2670171405250556,-1.5022794293669859,-2.3641051536439273
-2.0,-2.0,0.5,-3.08026037232473,-0.22626726537716027,-1.632185821662471,-2.394334501279944
-2.0,-2.0,1.0,-3.08026037232473,-0.22626726537716027,-1.6321858216624712,-2.394334501279944
-2.0,-2.0,2.0,-3.0795779001937222,-0.22666816129450393,-1.6305956232067793,-2.3944714279947608
