logu,logz,logno,logn,nii_ha,oiii_hb,sii_ha
-4.0,-1.5,-2.0,0.5,-3.310816788581036,-2.3407477972304136,-1.0865521902706217
-4.0,-1.3733333333333333,-2.0,0.5,-3.1888608415735504,-2.231368885015584,-0.9598643636876848
-4.0,-1.2466666666666666,-2.0,0.5,-3.0680942920628027,-2.12227638981755,-0.8345897341187308
-4.0,-1.12,-2.0,0.5,-2.948925325110416,-2.013860271561377,-0.7109235206216205
-4.0,-0.9933333333333334,-2.0,0.5,-2.8318901229439746,-1.9069174034314642,-0.589257693542746
-4.0,-0.8666666666666667,-2.0,0.5,-2.7177760246480105,-1.8029989511761642,-0.4702699033565408
-4.0,-0.7400000000000001,-2.0,0.5,-2.60785746497848,-1.7047369305578002,-0.35504482830438183
-4.0,-0.6133333333333335,-2.0,0.5,-2.5042757812078236,-1.6159474381455965,-0.24522947615591345
-4.0,-0.4866666666666668,-2.0,0.5,-2.4104227204220905,-1.54114326509616,-0.1432079339196383
-4.0,-0.3600000000000001,-2.0,0.5,-2.3307745643677507,-1.4842346121213765,-0.05223787184884311
-4.0,-0.2333333333333334,-2.0,0.5,-2.2695999735441106,-1.4471785092504845,0.0235698051240564
-4.0,-0.10666666666666691,-2.0,0.5,-2.229457619086503,-1.4304263537003266,0.07953822632815105
-4.0,0.019999999999999796,-2.0,0.5,-2.211456452965365,-1.435622973484982,0.11087151089640457
-4.0,0.1466666666666665,-2.0,0.5,-2.217142256144264,-1.4677762436283999,0.11277537531154003
-4.0,0.273333333333333,-2.0,0.5,-2.2502504094664886,-1.536311216413175,0.07956029199031421
-4.0,0.4,-2.0,0.5,-2.3175899970080636,-1.658017001013576,0.00223782616332816
-3.8,-1.5,-2.0,0.5,-3.3054536897426914,-1.979716686137749,-1.086512258392119
-3.8,-1.3733333333333333,-2.0,0.5,-3.1834238560031523,-1.8673931267717592,-0.9601945452087218
-3.8,-1.2466666666666666,-2.0,0.5,-3.062585270832379,-1.7562696698369535,-0.8353407364773089
-3.8,-1.12,-2.0,0.5,-2.9433124271286957,-1.6470068019518536,-0.7122334475528219
-3.8,-0.9933333333333334,-2.0,0.5,-2.82612458202356,-1.540705507255474,-0.591353230625482
-3.8,-0.8666666666666667,-2.0,0.5,-2.7118218448780027,-1.4392402018274808,-0.47345253560928213
-3.8,-0.7400000000000001,-2.0,0.5,-2.6017313302956424,-1.3455437721572778,-0.35965091294421925
-3.8,-0.6133333333333335,-2.0,0.5,-2.498053780651098,-1.263621631843293,-0.2515485056608673
-3.8,-0.4866666666666668,-2.0,0.5,-2.4040707788732263,-1.1979622404537338,-0.15134227056398564
-3.8,-0.3600000000000001,-2.0,0.5,-2.323685762612115,-1.1522653868234372,-0.06189898003185974
-3.8,-0.2333333333333334,-2.0,0.5,-2.2602696497437123,-1.1282537238903103,0.013297682343783108
-3.8,-0.10666666666666691,-2.0,0.5,-2.2160535655939597,-1.1259454437931993,0.0703855670671763
-3.8,0.019999999999999796,-2.0,0.5,-2.192848826084706,-1.145801338057609,0.10543765568307602
-3.8,0.1466666666666665,-2.0,0.5,-2.1932313953478513,-1.1908285986643605,0.11446458334753344
-3.8,0.273333333333333,-2.0,0.5,-2.2214865019499754,-1.26728274445356,0.09247493409368351
-3.8,0.4,-2.0,0.5,-2.284276149342787,-1.386821539063277,0.03070558191886952
-3.6,-1.5,-2.0,0.5,-3.295143845484894,-1.6230558065744134,-1.1056240573457174
-3.6,-1.3733333333333333,-2.0,0.5,-3.1731238860144373,-1.5086660711887987,-0.9798894723715023
-3.6,-1.2466666666666666,-2.0,0.5,-3.052358103343991,-1.3964107901505756,-0.855601747573559
-3.6,-1.12,-2.0,0.5,-2.9332336947054216,-1.2871599663609032,-0.7331309585096557
-3.6,-0.9933333333333334,-2.0,0.5,-2.81631962501811,-1.1822316066320013,-0.6130503931741327
-3.6,-0.8666666666666667,-2.0,0.5,-2.702524259479432,-1.0837008151670702,-0.496200712075401
-3.6,-0.7400000000000001,-2.0,0.5,-2.593341626118381,-0.9946287216994277,-0.38376649672434365
-3.6,-0.6133333333333335,-2.0,0.5,-2.491095693339041,-0.9189740502494956,-0.27735784962052756
-3.6,-0.4866666666666668,-2.0,0.5,-2.398850415336014,-0.8609170332096241,-0.17907813936098335
-3.6,-0.3600000000000001,-2.0,0.5,-2.319673547265346,-0.8236907662121523,-0.09153771137711819
-3.6,-0.2333333333333334,-2.0,0.5,-2.2558406633664063,-0.8087194967310154,-0.017760998033628177
-3.6,-0.10666666666666691,-2.0,0.5,-2.209109787747593,-0.8160236220168146,0.03901651174373105
-3.6,0.019999999999999796,-2.0,0.5,-2.1817916829847377,-0.8460081930646979,0.07552346100552709
-3.6,0.1466666666666665,-2.0,0.5,-2.177491576957138,-0.9014013943012672,0.0882926939658008
-3.6,0.273333333333333,-2.0,0.5,-2.2013700701454226,-0.9880095745445061,0.072670872797423
-3.6,0.4,-2.0,0.5,-2.2605589317496353,-1.1157871540010404,0.020093082103322085
-3.4,-1.5,-2.0,0.5,-3.2856514869312576,-1.2880893369090671,-1.1398812941597833
-3.4,-1.3733333333333333,-2.0,0.5,-3.163798144365707,-1.1724518927531804,-1.0149452644844046
-3.4,-1.2466666666666666,-2.0,0.5,-3.043294345710983,-1.0597993992247368,-0.8914367779352335
-3.4,-1.12,-2.0,0.5,-2.9245735218600046,-0.9511890859171713,-0.7697993688297344
-3.4,-0.9933333333333334,-2.0,0.5,-2.8082990650733066,-0.8481304632073261,-0.6506858479946376
-3.4,-0.8666666666666667,-2.0,0.5,-2.6955400844880515,-0.7528603442795115,-0.5350168011080795
-3.4,-0.7400000000000001,-2.0,0.5,-2.5879906040528624,-0.6684970770991612,-0.42404412296525407
-3.4,-0.6133333333333335,-2.0,0.5,-2.4880569628333546,-0.5988335386910818,-0.3194087133170271
-3.4,-0.4866666666666668,-2.0,0.5,-2.398488485057946,-0.5475876469031392,-0.22317037749257768
-3.4,-0.3600000000000001,-2.0,0.5,-2.321590963073575,-0.5173811702532731,-0.13777391958283527
-3.4,-0.2333333333333334,-2.0,0.5,-2.2589145222645683,-0.5092496841972932,-0.06592453001209661
-3.4,-0.10666666666666691,-2.0,0.5,-2.212017500079625,-0.523293319205166,-0.010419369617526623
-3.4,0.019999999999999796,-2.0,0.5,-2.1835413707212723,-0.560313241245666,0.025895492526712874
-3.4,0.1466666666666665,-2.0,0.5,-2.177753836759635,-0.62362550290608,0.039789114910262394
-3.4,0.273333333333333,-2.0,0.5,-2.2005787255291054,-0.7201789541695263,0.02656782859305702
-3.4,0.4,-2.0,0.5,-2.2599860783382937,-0.8616317136470073,-0.02248327303642159
-3.2,-1.5,-2.0,0.5,-3.2856986314252197,-0.9934197710545547,-1.1813408921239568
-3.2,-1.3733333333333333,-2.0,0.5,-3.1640944952499908,-0.8771720057218175,-1.057266232159855
-3.2,-1.2466666666666666,-2.0,0.5,-3.0439489149341483,-0.7646056818145724,-0.9346861293595212
-3.2,-1.12,-2.0,0.5,-2.9257704466100236,-0.6569786286279893,-0.8141020830283199
-3.2,-0.9933333333333334,-2.0,0.5,-2.8103486241055506,-0.5560136051064929,-0.6962278282122228
-3.2,-0.8666666666666667,-2.0,0.5,-2.6989311534248515,-0.4641309534879739,-0.582044345257656
-3.2,-0.7400000000000001,-2.0,0.5,-2.593376355316657,-0.3845146143433596,-0.47285402784069397
-3.2,-0.6133333333333335,-2.0,0.5,-2.4960599269567822,-0.32078356366593397,-0.37032083466643745
-3.2,-0.4866666666666668,-2.0,0.5,-2.409345515652582,-0.27619824921416114,-0.27647295029896846
-3.2,-0.3600000000000001,-2.0,0.5,-2.3349894229590547,-0.252824859517375,-0.19363727171695294
-3.2,-0.2333333333333334,-2.0,0.5,-2.2742880233996985,-0.251407401939808,-0.12430261771317327
-3.2,-0.10666666666666691,-2.0,0.5,-2.2289938127787607,-0.2722675245243664,-0.07099915958524701
-3.2,0.019999999999999796,-2.0,0.5,-2.202200629986116,-0.31692019943177746,-0.036382849496033605
-3.2,0.1466666666666665,-2.0,0.5,-2.1987253063435688,-0.38988566863783797,-0.02373633374965485
-3.2,0.273333333333333,-2.0,0.5,-2.225077857320805,-0.5003319556976037,-0.03813511442295782
-3.2,0.4,-2.0,0.5,-2.2900188917214166,-0.66411172107928,-0.08875051911700495
-3.0,-1.5,-2.0,0.5,-3.3000877692554127,-0.7560289260929025,-1.2223258709781786
-3.0,-1.3733333333333333,-2.0,0.5,-3.178732431254062,-0.6395209878704051,-1.0989701680287844
-3.0,-1.2466666666666666,-2.0,0.5,-3.058952844925983,-0.5272347205123394,-0.9772916412231031
-3.0,-1.12,-2.0,0.5,-2.9413555141798966,-0.4206622664126627,-0.8578441053879492
-3.0,-0.9933333333333334,-2.0,0.5,-2.8268715383703906,-0.32178019067481495,-0.7413919235375965
