doublet,source,label,n,p1,p50,p99,frac_below,frac_above,frac_out
sii,obs_sdss,Observed SDSS,57935,1.0218816473273773,1.3946197367448958,1.8550468702747784,1.7260723224303098e-05,0.31994476568568225,0.31996202640890653
sii,obs_desi,Observed DESI,100000,1.0020029108501987,1.3823178221212866,1.7929679722714533,3e-05,0.29035,0.29037999999999997
sii,nf_ss,NF SDSS->SDSS (in-survey),57935,1.029978187084198,1.3942406177520752,1.821567120552063,0.00024165012514024337,0.33416760162250797,0.33440925174764824
sii,nf_dd,NF DESI->DESI (in-survey),100000,0.9985500550270081,1.380082368850708,1.7672932696342463,0.0003,0.29023,0.29053
sii,nf_sd,NF SDSS->DESI (cross),100000,0.9931403714418411,1.3593886494636536,1.6875238239765165,0.00049,0.2189,0.21939
sii,nf_ds,NF DESI->SDSS (cross),57935,0.9668017029762268,1.391488790512085,1.8499672436714167,0.00022438940191594028,0.3407611978941918,0.34098558729610773
oii,obs_sdss,Observed SDSS,57935,0.5415716807882446,1.1401673128241725,2.090107763493381,0.0007939932683179425,0.12579615085872098,0.12659014412703892
oii,obs_desi,Observed DESI,100000,0.5984841356912564,1.1299638697908456,1.8336843317018903,4e-05,0.0673,0.06734
oii,nf_ss,NF SDSS->SDSS (in-survey),57935,0.5388081657886505,1.1394851207733154,2.0427532386779714,0.00122551134892552,0.1308708034866661,0.13209631483559162
oii,nf_dd,NF DESI->DESI (in-survey),100000,0.6077028673887253,1.1292080283164978,1.818628339767456,0.00037,0.06591,0.06627999999999999
oii,nf_sd,NF SDSS->DESI (cross),100000,0.5000732046365738,1.0973643064498901,1.9358223330974529,0.00196,0.08735,0.08931
oii,nf_ds,NF DESI->SDSS (cross),57935,0.5877515900135041,1.1328121423721313,1.9036732363700852,0.00048330025028048675,0.0880642098903944,0.08854751014067488
