train,test,delta,rho
sdss,sdss,-0.6,0.7168109289057562
sdss,sdss,-0.55,0.7297969019032395
sdss,sdss,-0.5,0.7420728083600493
sdss,sdss,-0.45,0.7535093760283667
sdss,sdss,-0.4,0.7640160083288331
sdss,sdss,-0.35,0.7735157413233601
sdss,sdss,-0.3,0.7819469108709494
sdss,sdss,-0.25,0.7892313282808652
sdss,sdss,-0.2,0.7953250750186356
sdss,sdss,-0.15,0.8001975257367606
sdss,sdss,-0.1,0.8038354344490325
sdss,sdss,-0.05,0.8062565384279495
sdss,sdss,0.0,0.807504271712954
sdss,sdss,0.05,0.8076076816952736
sdss,sdss,0.1,0.8065942353488937
sdss,sdss,0.15,0.8045019329296758
sdss,sdss,0.2,0.8013738592423718
sdss,sdss,0.25,0.7972471853921294
sdss,sdss,0.3,0.7921525617193499
sdss,sdss,0.35,0.7861018770420909
sdss,sdss,0.4,0.7791310015643543
sdss,sdss,0.45,0.7712628324431948
sdss,sdss,0.5,0.7625075315588711
sdss,sdss,0.55,0.7529059580421881
sdss,sdss,0.6,0.7424979347532501
sdss,desi,-0.6,0.472839468050056
sdss,desi,-0.55,0.46467577020704537
sdss,desi,-0.5,0.45637319589456105
sdss,desi,-0.45,0.4479998178570905
sdss,desi,-0.4,0.4396211368927102
sdss,desi,-0.35,0.4312954573214769
sdss,desi,-0.3,0.4230750069206042
sdss,desi,-0.25,0.4150295290924163
sdss,desi,-0.2,0.4072079608035605
sdss,desi,-0.15,0.39963745794841293
sdss,desi,-0.1,0.39236048723240874
sdss,desi,-0.05,0.385407940184543
sdss,desi,0.0,0.3788105285170192
sdss,desi,0.05,0.3725816745896567
sdss,desi,0.1,0.366719947155471
sdss,desi,0.15,0.361218416148056
sdss,desi,0.2,0.3560750568623422
sdss,desi,0.25,0.3512777842054803
sdss,desi,0.3,0.34681622599270123
sdss,desi,0.35,0.34267861738747646
sdss,desi,0.4,0.3388541726909314
sdss,desi,0.45,0.3353307336622904
sdss,desi,0.5,0.3320841804461135
sdss,desi,0.55,0.32909175981703026
sdss,desi,0.6,0.32633087727482635
desi,sdss,-0.6,0.4049396955731161
desi,sdss,-0.55,0.411930470028435
desi,sdss,-0.5,0.41909908693196796
desi,sdss,-0.45,0.4264549274630066
desi,sdss,-0.4,0.43401212148787205
desi,sdss,-0.35,0.44177384341794235
desi,sdss,-0.3,0.44974409533510457
desi,sdss,-0.25,0.45793258688655214
desi,sdss,-0.2,0.4663279664610558
desi,sdss,-0.15,0.4749130915865559
desi,sdss,-0.1,0.4836790237016144
desi,sdss,-0.05,0.4925890977383091
desi,sdss,0.0,0.5016200932268435
desi,sdss,0.05,0.5107327322646079
desi,sdss,0.1,0.5198766315431651
desi,sdss,0.15,0.5290043697206448
desi,sdss,0.2,0.5380814988478344
desi,sdss,0.25,0.54707538766653
desi,sdss,0.3,0.555957771558617
desi,sdss,0.35,0.5647142648396155
desi,sdss,0.4,0.5733084334633445
desi,sdss,0.45,0.5817115469916072
desi,sdss,0.5,0.5898939432208855
desi,sdss,0.55,0.5978312325116698
desi,sdss,0.6,0.6054866537408294
desi,desi,-0.6,0.7134334958806283
desi,desi,-0.55,0.7176247256405783
desi,desi,-0.5,0.7216793192364283
desi,desi,-0.45,0.7255903037687437
desi,desi,-0.4,0.7293513424139978
desi,desi,-0.35,0.7329441177831595
desi,desi,-0.3,0.7363301958637142
desi,desi,-0.25,0.7394489532817775
desi,desi,-0.2,0.742249504643324
desi,desi,-0.15,0.7446736678225043
desi,desi,-0.1,0.7466289443917496
desi,desi,-0.05,0.7479829335373854
desi,desi,0.0,0.7486064639197382
desi,desi,0.05,0.7483755579253872
desi,desi,0.1,0.7471583957132126
desi,desi,0.15,0.7448177584252871
desi,desi,0.2,0.7412197620195273
desi,desi,0.25,0.7362679889274346
desi,desi,0.3,0.7298637051592822
desi,desi,0.35,0.721936493064844
desi,desi,0.4,0.7124792576182133
desi,desi,0.45,0.7015420921847131
desi,desi,0.5,0.6892092124224131
desi,desi,0.55,0.6755752502460654
desi,desi,0.6,0.6607707848794333
