train,test,delta,rho
sdss,sdss,-0.6,0.3705909274495441
sdss,sdss,-0.55,0.4198995208214053
sdss,sdss,-0.5,0.4709807156319804
sdss,sdss,-0.45,0.5231532719351337
sdss,sdss,-0.4,0.5751765321233939
sdss,sdss,-0.35,0.6257753070851123
sdss,sdss,-0.3,0.6732848407012358
sdss,sdss,-0.25,0.7155995385640553
sdss,sdss,-0.2,0.7511048911278515
sdss,sdss,-0.15,0.7784583496598922
sdss,sdss,-0.1,0.7968890261101473
sdss,sdss,-0.05,0.8064214450635082
sdss,sdss,0.0,0.80750427273405
sdss,sdss,0.05,0.8009371583150493
sdss,sdss,0.1,0.7876185306277691
sdss,sdss,0.15,0.7685292861546515
sdss,sdss,0.2,0.744585682963235
sdss,sdss,0.25,0.7167271368044686
sdss,sdss,0.3,0.6857940618047619
sdss,sdss,0.35,0.6525619470999187
sdss,sdss,0.4,0.6179352148525106
sdss,sdss,0.45,0.5827361252769426
sdss,sdss,0.5,0.5477987398026619
sdss,sdss,0.55,0.5139623447263022
sdss,sdss,0.6,0.48190131562511884
sdss,desi,-0.6,0.20453481507830504
sdss,desi,-0.55,0.21089772320995365
sdss,desi,-0.5,0.2182049406181859
sdss,desi,-0.45,0.22659292907795545
sdss,desi,-0.4,0.23622955203689008
sdss,desi,-0.35,0.24735210786396783
sdss,desi,-0.3,0.26019429208164946
sdss,desi,-0.25,0.27480539695458395
sdss,desi,-0.2,0.29133698157060445
sdss,desi,-0.15,0.309956330848557
sdss,desi,-0.1,0.3307679227728368
sdss,desi,-0.05,0.3537298907401683
sdss,desi,0.0,0.378810529118844
sdss,desi,0.05,0.4059253259524053
sdss,desi,0.1,0.43485294700341276
sdss,desi,0.15,0.46512618103479453
sdss,desi,0.2,0.49632991730593307
sdss,desi,0.25,0.5279156120563817
sdss,desi,0.3,0.5592135279304088
sdss,desi,0.35,0.5894118103144254
sdss,desi,0.4,0.6175937330831027
sdss,desi,0.45,0.6428893157661917
sdss,desi,0.5,0.664504450510031
sdss,desi,0.55,0.6817932181161265
sdss,desi,0.6,0.6941857759494374
desi,sdss,-0.6,0.7360218659436812
desi,sdss,-0.55,0.7270385858229566
desi,sdss,-0.5,0.7149897848994079
desi,sdss,-0.45,0.7001700875184396
desi,sdss,-0.4,0.6829071588195309
desi,sdss,-0.35,0.6635633101402016
desi,sdss,-0.3,0.64250562252074
desi,sdss,-0.25,0.6201017269397452
desi,sdss,-0.2,0.5967087818788233
desi,sdss,-0.15,0.5727772563884063
desi,sdss,-0.1,0.5487013823048771
desi,sdss,-0.05,0.5248539042130175
desi,sdss,0.0,0.5016201086183817
desi,sdss,0.05,0.4794284864161998
desi,sdss,0.1,0.45860604431217844
desi,sdss,0.15,0.4392953203710336
desi,sdss,0.2,0.42151293953216235
desi,sdss,0.25,0.40524298576885726
desi,sdss,0.3,0.39045037362749757
desi,sdss,0.35,0.37706371630106256
desi,sdss,0.4,0.36497807510751484
desi,sdss,0.45,0.3540633626635273
desi,sdss,0.5,0.3442020233175559
desi,sdss,0.55,0.3353034970890204
desi,sdss,0.6,0.3272516549028654
desi,desi,-0.6,0.5202061806660954
desi,desi,-0.55,0.5508630509782099
desi,desi,-0.5,0.5810124932772271
desi,desi,-0.45,0.6101379589054643
desi,desi,-0.4,0.6377314878695021
desi,desi,-0.35,0.6632836186650498
desi,desi,-0.3,0.686172573813561
desi,desi,-0.25,0.7058805585613241
desi,desi,-0.2,0.7220319274734542
desi,desi,-0.15,0.7343807442507325
desi,desi,-0.1,0.7428589096846221
desi,desi,-0.05,0.747534128315372
desi,desi,0.0,0.7486064420972839
desi,desi,0.05,0.7463543440756288
desi,desi,0.1,0.7410982112335333
desi,desi,0.15,0.7332164558476786
desi,desi,0.2,0.7230508764299524
desi,desi,0.25,0.710886876502217
desi,desi,0.3,0.6970284101158758
desi,desi,0.35,0.6817677724963906
desi,desi,0.4,0.6653773881874082
desi,desi,0.45,0.6481178462570999
desi,desi,0.5,0.6302119384379499
desi,desi,0.55,0.611910769829515
desi,desi,0.6,0.5934592470400496
