train,test,delta,nll_raw
sdss,desi,-0.6,-0.23414870372223548
sdss,desi,-0.55,-0.26254372731028863
sdss,desi,-0.5,-0.2916865314642933
sdss,desi,-0.45,-0.32172398936808627
sdss,desi,-0.4,-0.352819828505289
sdss,desi,-0.35,-0.385151362988941
sdss,desi,-0.3,-0.41890588192583184
sdss,desi,-0.25,-0.45427325416251413
sdss,desi,-0.2,-0.49143320156913944
sdss,desi,-0.15,-0.5305473878375189
sdss,desi,-0.1,-0.571740500389528
sdss,desi,-0.05,-0.6150875236609428
sdss,desi,0.0,-0.6605910373915265
sdss,desi,0.05,-0.7081635024119897
sdss,desi,0.1,-0.7576105783268575
sdss,desi,0.15,-0.8086118614575726
sdss,desi,0.2,-0.8607148654497148
sdss,desi,0.25,-0.9133226385221392
sdss,desi,0.3,-0.9657033944954249
sdss,desi,0.35,-1.0170006597682748
sdss,desi,0.4,-1.0662533952876676
sdss,desi,0.45,-1.1124319409228878
sdss,desi,0.5,-1.154466220620267
sdss,desi,0.55,-1.191293037632171
sdss,desi,0.6,-1.2218982102664622
desi,sdss,-0.6,-1.5854026329392539
desi,sdss,-0.55,-1.577057948728065
desi,sdss,-0.5,-1.5658937809386313
desi,sdss,-0.45,-1.5520270777735392
desi,sdss,-0.4,-1.5356542434200744
desi,sdss,-0.35,-1.5170433128396066
desi,sdss,-0.3,-1.496514345745391
desi,sdss,-0.25,-1.474417154849283
desi,sdss,-0.2,-1.4511031866983208
desi,sdss,-0.15,-1.4269020460428825
desi,sdss,-0.1,-1.402103437658347
desi,sdss,-0.05,-1.3769442676462778
desi,sdss,0.0,-1.3516058917120093
desi,sdss,0.05,-1.32621652292176
desi,sdss,0.1,-1.3008558752342048
desi,sdss,0.15,-1.275565310476876
desi,sdss,0.2,-1.2503546316608734
desi,sdss,0.25,-1.225214637714375
desi,sdss,0.3,-1.200122110979515
desi,sdss,0.35,-1.1750460085878123
desi,sdss,0.4,-1.1499528799136742
desi,sdss,0.45,-1.1248079844616263
desi,sdss,0.5,-1.0995789894933068
desi,sdss,0.55,-1.0742368299407192
desi,sdss,0.6,-1.0487553644409329
